source,category,subcategory,scope,text_en,text_zh,preview,extra_id
gwliang,action,default,normal,head tilt, 歪头,,
gwliang,action,default,normal, against wall,靠墙,,
gwliang,action,default,normal, lying ,躺着,,
gwliang,action,default,normal,arched_back,弓身体,,
gwliang,action,default,normal,arm at side ,手放头旁边,,
gwliang,action,default,normal,arm_support,用手支撑住,,
gwliang,action,default,normal,armpits,举手露腋,,
gwliang,action,default,normal,arms behind back ,手放后面,,
gwliang,action,default,normal,arms behind head,手放脑后,,
gwliang,action,default,normal,arms up,举手,,
gwliang,action,default,normal,arms_crossed,手交叉于胸前,,
gwliang,action,default,normal,back-to-back,背对背,,
gwliang,action,default,normal,bathing,洗澡,,
gwliang,action,default,normal,bent_over,翘臀姿势,,
gwliang,action,default,normal,caramelldansen,niconiconi,,
gwliang,action,default,normal,cat_pose,猫爪手势,,
gwliang,action,default,normal,crossed_legs,二郎腿,,
gwliang,action,default,normal,eye_contact,眼对眼（对视）,,
gwliang,action,default,normal,fetal position,婴儿姿势,,
gwliang,action,default,normal,fetal_position,曲腿至胸,,
gwliang,action,default,normal,fighting_stance,战斗姿态,,
gwliang,action,default,normal,finger_gun,手枪手势,,
gwliang,action,default,normal,fingersmile,用手指做出笑脸,,
gwliang,action,default,normal,grabbing,抓住,,
gwliang,action,default,normal,hair scrunchie,撮头发,,
gwliang,action,default,normal,hair_pull,拉头发,,
gwliang,action,default,normal,hand on another's hip, 手放臀,,
gwliang,action,default,normal,hand on hip, 手放臀,,
gwliang,action,default,normal,hand on own chest,手放在自己的胸前,,
gwliang,action,default,normal,hand_on_hip,单手插腰,,
gwliang,action,default,normal,hand_to_mouth,手放在嘴边,,
gwliang,action,default,normal,hands up ,举手,,
gwliang,action,default,normal,hands_on_hips,双手叉腰,,
gwliang,action,default,normal,holding,拿着,,
gwliang,action,default,normal,holding_hands,牵手,,
gwliang,action,default,normal,hug,拥抱,,
gwliang,action,default,normal,indian_style,盘腿,,
gwliang,action,default,normal,kneeling,下跪,,
gwliang,action,default,normal,lap_pillow,膝枕,,
gwliang,action,default,normal,leaning forward, 前倾,,
gwliang,action,default,normal,leg hold,手把腿抓着,,
gwliang,action,default,normal,leg_hug,抱腿,,
gwliang,action,default,normal,leg_lift,抬一只脚,,
gwliang,action,default,normal,legs_up,抬两只脚,,
gwliang,action,default,normal,looking back,回头,,
gwliang,action,default,normal,looking down,向下看,,
gwliang,action,default,normal,looking up,向上看,,
gwliang,action,default,normal,middle_finger,比出中指,,
gwliang,action,default,normal,mimikaki,掏耳勺,,
gwliang,action,default,normal,on_stomach,趴着,,
gwliang,action,default,normal,peace symbol ,耶,,
gwliang,action,default,normal,princess_carry,公主抱,,
gwliang,action,default,normal,running,跑,,
gwliang,action,default,normal,salute,敬礼,,
gwliang,action,default,normal,seiza,正坐,,
gwliang,action,default,normal,shushing,嘘手势,,
gwliang,action,default,normal,sitting, 坐,,
gwliang,action,default,normal,sitting on, 坐,,
gwliang,action,default,normal,sleeping,睡觉,,
gwliang,action,default,normal,smelling,闻,,
gwliang,action,default,normal,smoking,抽烟,,
gwliang,action,default,normal,spread legs,张开腿,,
gwliang,action,default,normal,spread_arms,张手,,
gwliang,action,default,normal,squatting,蹲下,,
gwliang,action,default,normal,straddle,跨坐,,
gwliang,action,default,normal,straddling,跨坐,,
gwliang,action,default,normal,stretch,伸懒腰,,
gwliang,action,default,normal,symmetrical_hand_pose,手对手,,
gwliang,action,default,normal,thumbs_up,翘大拇指,,
gwliang,action,default,normal,top-down_bottom-up,趴着翘臀,,
gwliang,action,default,normal,turning around,回头,,
gwliang,action,default,normal,upside-down,颠倒的,,
gwliang,action,default,normal,v,耶,,
gwliang,action,default,normal,w ,手势,,
gwliang,action,default,normal,walking,走,,
gwliang,action,default,normal,wariza/w-sitting,割坐,,
gwliang,action,default,normal,waving,招手,,
gwliang,action,default,normal,yokozuwari,侧身坐,,
gwliang,action,人物,normal,\m/,6+1 手势,,
gwliang,action,人物,normal,\n/,摇滚手势,,
gwliang,action,人物,normal,\||/,手掌贴墙,,
gwliang,action,人物,normal,adjusting eyewear,扶眼镜,,
gwliang,action,人物,normal,adjusting legwear,整理裤袜,,
gwliang,action,人物,normal,adjusting panties,拨内裤,,
gwliang,action,人物,normal,air guitar,空气吉他,,
gwliang,action,人物,normal,air quotes,引号手势,,
gwliang,action,人物,normal,akanbe,拉下眼睑的鬼脸,,
gwliang,action,人物,normal,all fours,四肢趴地,,
gwliang,action,人物,normal,arched back,弓身体,,
gwliang,action,人物,normal,arm around neck,手臂环绕脖子,,
gwliang,action,人物,normal,arm grab,抓住手臂,,
gwliang,action,人物,normal,arm held back,手臂往后拉,,
gwliang,action,人物,normal,arm hug,挽手,,
gwliang,action,人物,normal,arm support,用手支撑住,,
gwliang,action,人物,normal,arm up,单抬臂,,
gwliang,action,人物,normal,armpit peek,微微露出腋窝,,
gwliang,action,人物,normal,arms around neck,双手搂着脖子,,
gwliang,action,人物,normal,arms at sides,双手垂放,,
gwliang,action,人物,normal,arms behind back,手放在身后,,
gwliang,action,人物,normal,arms crossed,手交叉于胸前,,
gwliang,action,人物,normal,balancing,(保持)平衡的姿势,,
gwliang,action,人物,normal,battoujutsu stance,拔刀起手式,,
gwliang,action,人物,normal,beckoning,招手,,
gwliang,action,人物,normal,belly grab,捏着肚子,,
gwliang,action,人物,normal,bent over,翘臀姿势,,
gwliang,action,人物,normal,bikini pull,扯着比基尼,,
gwliang,action,人物,normal,bowing,鞠躬,,
gwliang,action,人物,normal,bunching hair,手持辫子,,
gwliang,action,人物,normal,bunny pose,兔耳 pose,,
gwliang,action,人物,normal,butterfly sitting,蝴蝶坐,,
gwliang,action,人物,normal,carry me,抱着我手势,,
gwliang,action,人物,normal,carrying over shoulder,肩扛,,
gwliang,action,人物,normal,carrying under arm,夹在腋下,,
gwliang,action,人物,normal,chest stand,用胸支撑身体,,
gwliang,action,人物,normal,claw pose,举爪姿势,,
gwliang,action,人物,normal,clenched hand,握紧的手,,
gwliang,action,人物,normal,clenched hands,紧握的双手,,
gwliang,action,人物,normal,clothes lift,掀起衣物,,
gwliang,action,人物,normal,clothes pull,拉开衣物,,
gwliang,action,人物,normal,convenient arm,遮住关键部位的手臂,,
gwliang,action,人物,normal,convenient head,挡住关键部位的头,,
gwliang,action,人物,normal,convenient leg,挡住关键部位的腿,,
gwliang,action,人物,normal,cowering,抱头,,
gwliang,action,人物,normal,crawling,爬行,,
gwliang,action,人物,normal,crossed ankles,交叉脚踝,,
gwliang,action,人物,normal,crossed arms,交叉双臂,,
gwliang,action,人物,normal,crossed fingers,手指交错,,
gwliang,action,人物,normal,crossed legs,二郎腿,,
gwliang,action,人物,normal,crucifixion,磔,,
gwliang,action,人物,normal,cuddling,拥抱,,
gwliang,action,人物,normal,cupping hands,用手比作杯子,,
gwliang,action,人物,normal,curtsey,(女子的)屈膝礼,,
gwliang,action,人物,normal,double v,双手比 V,,
gwliang,action,人物,normal,dress lift,掀起裙子,,
gwliang,action,人物,normal,dress removed,脱下裙子,,
gwliang,action,人物,normal,dress tug,拉下连衣裙下摆,,
gwliang,action,人物,normal,drying hair,弄干头发,,
gwliang,action,人物,normal,dual wielding,双持,,
gwliang,action,人物,normal,faceplant,脸贴地面,,
gwliang,action,人物,normal,feeding,喂食,,
gwliang,action,人物,normal,fidgeting,紧张手势,,
gwliang,action,人物,normal,fig sign,Fig 手势,,
gwliang,action,人物,normal,fighting stance,战斗姿态,,
